week,vader_mean,hf_mean,n_articles
2024-04-29,0.4019,,1
2024-07-08,0.34,,1
2024-07-15,0.3454,,2
2024-08-05,-0.872,,1
2024-08-12,0.4939,,1
2024-09-02,0.3612,,1
2024-10-07,0.0,,1
2024-10-14,0.0,,1
2024-10-21,-0.07655,,2
2024-11-04,0.373,,6
2024-11-11,0.20500000000000002,,4
2024-12-02,0.2997,,2
2024-12-09,0.0,,1
2024-12-16,0.4939,,1
2025-01-13,0.0,,1
2025-01-20,0.0,,2
2025-01-27,-0.004366666666666667,,3
2025-02-03,-0.07926000000000001,,15
2025-02-10,-0.01876,,5
2025-02-17,-0.07211428571428571,,7
2025-02-24,-0.3194666666666666,,3
2025-03-03,0.0593,,3
2025-03-10,0.20939999999999998,,2
2025-03-17,-0.0427,,4
2025-03-24,0.14024,,5
2025-03-31,0.13193076923076924,,13
2025-04-07,-0.22665,,4
2025-04-14,0.06435,,8
